@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
true,2018-11-30T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780128095560000046', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780128095560000046?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-12-809556-0.00004-6,https://api.elsevier.com/content/article/pii/B9780128095560000046,"Chapter 4: Big Data, Artificial Intelligence, and Machine Learning in Neurotrauma",Denes V. Agoston,Leveraging Biomedical and Healthcare Data,,2019-12-31,53,75,10.1016/B978-0-12-809556-0.00004-6,False,B9780128095560000046,{'author': 'Denes V. Agoston'}
true,2020-08-06T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1568494620305500', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1568494620305500?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.asoc.2020.106612,https://api.elsevier.com/content/article/pii/S1568494620305500,Application of artificial intelligence methods in vital signs analysis of hospitalized patients: A systematic literature review,Naira Kaieski,Applied Soft Computing,96,2020-11-30,106612,,10.1016/j.asoc.2020.106612,False,S1568494620305500,"{'author': [{'$': 'Naira Kaieski'}, {'$': 'Cristiano André da Costa'}, {'$': 'Björn Eskofier'}]}"
true,2020-09-22T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2212827120306016', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2212827120306016?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.procir.2020.04.039,https://api.elsevier.com/content/article/pii/S2212827120306016,Automated machine learning for predictive quality in production,Jonathan Krauß,Procedia CIRP,93,2020-12-31,443,448,10.1016/j.procir.2020.04.039,True,S2212827120306016,"{'author': [{'$': 'Jonathan Krauß'}, {'$': 'Bruno Machado Pacheco'}, {'$': 'Robert Heinrich Schmitt'}]}"
true,2021-10-28T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2352864821000870', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2352864821000870?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.dcan.2021.10.007,https://api.elsevier.com/content/article/pii/S2352864821000870,Machine learning in vehicular networking: an overview,Kang Tan,Digital Communications and Networks,,2021-10-28,,,10.1016/j.dcan.2021.10.007,True,S2352864821000870,"{'author': [{'$': 'Kang Tan'}, {'$': 'Duncan Bremner'}, {'$': 'Muhammad Imran'}]}"
true,2021-07-28T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2590257121000298', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2590257121000298?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.crphar.2021.100042,https://api.elsevier.com/content/article/pii/S2590257121000298,Artificial intelligence-driven drug repurposing and structural biology for SARS-CoV-2,Kartikay Prasad,Current Research in Pharmacology and Drug Discovery,2,2021-12-31,100042,,10.1016/j.crphar.2021.100042,True,S2590257121000298,"{'author': [{'$': 'Kartikay Prasad'}, {'$': 'Vijay Kumar'}]}"
true,2020-08-13T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0278612520301424', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0278612520301424?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.jmsy.2020.08.009,https://api.elsevier.com/content/article/pii/S0278612520301424,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,Emil Blixt Hansen,Journal of Manufacturing Systems,58,2021-01-31,362,372,10.1016/j.jmsy.2020.08.009,False,S0278612520301424,"{'author': [{'$': 'Emil Blixt Hansen'}, {'$': 'Simon Bøgh'}]}"
true,2021-01-29T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780128219867000238', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780128219867000238?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-12-821986-7.00023-8,https://api.elsevier.com/content/article/pii/B9780128219867000238,Chapter 16: Data Mining and Deep Learning,Xin-She Yang,Nature-Inspired Optimization Algorithms,,2021-12-31,239,258,10.1016/B978-0-12-821986-7.00023-8,False,B9780128219867000238,{'author': 'Xin-She Yang'}
true,2019-03-14T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0370157319300766', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0370157319300766?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.physrep.2019.03.001,https://api.elsevier.com/content/article/pii/S0370157319300766,"A high-bias, low-variance introduction to Machine Learning for physicists",Pankaj Mehta,Physics Reports,810,2019-05-30,1,124,10.1016/j.physrep.2019.03.001,True,S0370157319300766,"{'author': [{'$': 'Pankaj Mehta'}, {'$': 'Marin Bukov'}, {'$': 'David J. Schwab'}]}"
true,2018-02-22T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0893608018300492', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0893608018300492?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neunet.2018.02.010,https://api.elsevier.com/content/article/pii/S0893608018300492,An adaptive deep Q-learning strategy for handwritten digit recognition,Junfei Qiao,Neural Networks,107,2018-11-30,61,71,10.1016/j.neunet.2018.02.010,False,S0893608018300492,"{'author': [{'$': 'Junfei Qiao'}, {'$': 'Gongming Wang'}, {'$': 'Min Chen'}]}"
true,2020-10-15T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0950705120305748', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0950705120305748?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.knosys.2020.106445,https://api.elsevier.com/content/article/pii/S0950705120305748,A descriptive framework for the field of deep learning applications in medical images,Yingjie Tian,Knowledge-Based Systems,210,2020-12-27,106445,,10.1016/j.knosys.2020.106445,False,S0950705120305748,"{'author': [{'$': 'Yingjie Tian'}, {'$': 'Saiji Fu'}]}"
true,2009-03-29T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0893608009000367', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0893608009000367?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neunet.2009.03.013,https://api.elsevier.com/content/article/pii/S0893608009000367,Coordinated machine learning and decision support for situation awareness,N. G. Brannon,Neural Networks,22,2009-04-30,316,325,10.1016/j.neunet.2009.03.013,False,S0893608009000367,"{'author': [{'$': 'N. G. Brannon'}, {'$': 'J. E. Seiffertt'}, {'$': 'D. C. Wunsch'}]}"
true,2020-10-27T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0957417420309015', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0957417420309015?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.eswa.2020.114161,https://api.elsevier.com/content/article/pii/S0957417420309015,Deep and machine learning techniques for medical imaging-based breast cancer: A comprehensive review,Essam H. Houssein,Expert Systems with Applications,167,2021-04-01,114161,,10.1016/j.eswa.2020.114161,False,S0957417420309015,"{'author': [{'$': 'Essam H. Houssein'}, {'$': 'Marwa M. Emam'}, {'$': 'Ponnuthurai Nagaratnam Suganthan'}]}"
true,2017-10-13T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0098135417303538', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0098135417303538?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.compchemeng.2017.10.008,https://api.elsevier.com/content/article/pii/S0098135417303538,Machine learning: Overview of the recent progresses and implications for the process systems engineering field,Jay H. Lee,Computers & Chemical Engineering,114,2018-06-09,111,121,10.1016/j.compchemeng.2017.10.008,False,S0098135417303538,"{'author': [{'$': 'Jay H. Lee'}, {'$': 'Joohyun Shin'}, {'$': 'Matthew J. Realff'}]}"
true,2019-11-19T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0167739X19308702', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0167739X19308702?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.future.2019.09.060,https://api.elsevier.com/content/article/pii/S0167739X19308702,Saving time and cost on the scheduling of fog-based IoT applications using deep reinforcement learning approach,Pegah Gazori,Future Generation Computer Systems,110,2020-09-30,1098,1115,10.1016/j.future.2019.09.060,False,S0167739X19308702,"{'author': [{'$': 'Pegah Gazori'}, {'$': 'Dadmehr Rahbari'}, {'$': 'Mohsen Nickray'}]}"
true,2020-01-17T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0306261919321038', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0306261919321038?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.apenergy.2019.114416,https://api.elsevier.com/content/article/pii/S0306261919321038,Machine-learning based hybrid demand-side controller for high-rise office buildings with high energy flexibilities,Yuekuan Zhou,Applied Energy,262,2020-03-15,114416,,10.1016/j.apenergy.2019.114416,False,S0306261919321038,"{'author': [{'$': 'Yuekuan Zhou'}, {'$': 'Siqian Zheng'}]}"
true,2020-09-12T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0734975020301336', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0734975020301336?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.biotechadv.2020.107631,https://api.elsevier.com/content/article/pii/S0734975020301336,"Microalgae with artificial intelligence: A digitalized perspective on genetics, systems and products",Sin Yong Teng,Biotechnology Advances,44,2020-11-15,107631,,10.1016/j.biotechadv.2020.107631,False,S0734975020301336,"{'author': [{'$': 'Sin Yong Teng'}, {'$': 'Guo Yong Yew'}, {'$': 'Jo-Shu Chang'}]}"
true,2021-08-11T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2542435121003500', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2542435121003500?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.joule.2021.07.012,https://api.elsevier.com/content/article/pii/S2542435121003500,The role of artificial intelligence in the mass adoption of electric vehicles,Moin Ahmed,Joule,5,2021-09-15,2296,2322,10.1016/j.joule.2021.07.012,False,S2542435121003500,"{'author': [{'$': 'Moin Ahmed'}, {'$': 'Yun Zheng'}, {'$': 'Zhongwei Chen'}]}"
true,2020-07-21T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1270963820307823', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1270963820307823?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ast.2020.106100,https://api.elsevier.com/content/article/pii/S1270963820307823,Horizontal trajectory control of stratospheric airships in wind field using Q-learning algorithm,Xiaowei Yang,Aerospace Science and Technology,106,2020-11-30,106100,,10.1016/j.ast.2020.106100,False,S1270963820307823,"{'author': [{'$': 'Xiaowei Yang'}, {'$': 'Xixiang Yang'}, {'$': 'Xiaolong Deng'}]}"
true,2018-09-21T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0141933118301273', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0141933118301273?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.micpro.2018.09.008,https://api.elsevier.com/content/article/pii/S0141933118301273,Autonomous power management in mobile devices using dynamic frequency scaling and reinforcement learning for energy minimization,Sidartha A. L. Carvalho,Microprocessors and Microsystems,64,2019-02-28,205,220,10.1016/j.micpro.2018.09.008,False,S0141933118301273,"{'author': [{'$': 'Sidartha A. L. Carvalho'}, {'$': 'Daniel C. Cunha'}, {'$': 'Abel G. Silva-Filho'}]}"
true,2019-07-17T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0196890419307812', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0196890419307812?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.enconman.2019.111799,https://api.elsevier.com/content/article/pii/S0196890419307812,A review of deep learning for renewable energy forecasting,Huaizhi Wang,Energy Conversion and Management,198,2019-10-15,111799,,10.1016/j.enconman.2019.111799,False,S0196890419307812,"{'author': [{'$': 'Huaizhi Wang'}, {'$': 'Zhenxing Lei'}, {'$': 'Jianchun Peng'}]}"
true,2020-08-28T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780128012383113881', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780128012383113881?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-12-801238-3.11388-1,https://api.elsevier.com/content/article/pii/B9780128012383113881,Implementation of Machine Learning-Aided Imaging Analytics for Histopathological Image Diagnosis,Yang Yu,Systems Medicine,1,2021-12-31,208,221,10.1016/B978-0-12-801238-3.11388-1,False,B9780128012383113881,"{'author': [{'$': 'Yang Yu'}, {'$': 'Jiahao Wang'}, {'$': 'Hanry Yu'}]}"
true,2021-08-12T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2001037021003421', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2001037021003421?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.csbj.2021.08.011,https://api.elsevier.com/content/article/pii/S2001037021003421,A review on machine learning approaches and trends in drug discovery,Paula Carracedo-Reboredo,Computational and Structural Biotechnology Journal,19,2021-12-31,4538,4558,10.1016/j.csbj.2021.08.011,True,S2001037021003421,"{'author': [{'$': 'Paula Carracedo-Reboredo'}, {'$': 'Jose Liñares-Blanco'}, {'$': 'Carlos Fernandez-Lozano'}]}"
true,2020-06-02T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0306261920307492', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0306261920307492?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.apenergy.2020.115237,https://api.elsevier.com/content/article/pii/S0306261920307492,Machine learning driven smart electric power systems: Current trends and new perspectives,Muhammad Sohail Ibrahim,Applied Energy,272,2020-08-15,115237,,10.1016/j.apenergy.2020.115237,False,S0306261920307492,"{'author': [{'$': 'Muhammad Sohail Ibrahim'}, {'$': 'Wei Dong'}, {'$': 'Qiang Yang'}]}"
true,2020-08-24T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S092188902030470X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S092188902030470X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.robot.2020.103630,https://api.elsevier.com/content/article/pii/S092188902030470X,Improving robot dual-system motor learning with intrinsically motivated meta-control and latent-space experience imagination,Muhammad Burhan Hafez,Robotics and Autonomous Systems,133,2020-11-30,103630,,10.1016/j.robot.2020.103630,True,S092188902030470X,"{'author': [{'$': 'Muhammad Burhan Hafez'}, {'$': 'Cornelius Weber'}, {'$': 'Stefan Wermter'}]}"
true,2019-09-23T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2214209619302311', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2214209619302311?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.vehcom.2019.100184,https://api.elsevier.com/content/article/pii/S2214209619302311,"Deep learning models for traffic flow prediction in autonomous vehicles: A review, solutions, and challenges",Arzoo Miglani,Vehicular Communications,20,2019-12-31,100184,,10.1016/j.vehcom.2019.100184,False,S2214209619302311,"{'author': [{'$': 'Arzoo Miglani'}, {'$': 'Neeraj Kumar'}]}"
true,2021-08-09T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2666389921001768', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2666389921001768?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.patter.2021.100328,https://api.elsevier.com/content/article/pii/S2666389921001768,Machine learning applications for therapeutic tasks with genomics data,Kexin Huang,Patterns,2,2021-10-08,100328,,10.1016/j.patter.2021.100328,True,S2666389921001768,"{'author': [{'$': 'Kexin Huang'}, {'$': 'Cao Xiao'}, {'$': 'Jimeng Sun'}]}"
true,2021-09-24T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780323898614000270', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780323898614000270?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-323-89861-4.00027-0,https://api.elsevier.com/content/article/pii/B9780323898614000270,Chapter 43: Application of machine learning algorithms in hydrology,Hamidreza Mosaffa,Computers in Earth and Environmental Sciences,,2022-12-31,585,591,10.1016/B978-0-323-89861-4.00027-0,False,B9780323898614000270,"{'author': [{'$': 'Hamidreza Mosaffa'}, {'$': 'Mojtaba Sadeghi'}, {'$': 'Hamid Reza Pourghasemi'}]}"
true,2020-12-19T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0003986120307384', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0003986120307384?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.abb.2020.108730,https://api.elsevier.com/content/article/pii/S0003986120307384,Artificial intelligence in the early stages of drug discovery,Claudio N. Cavasotto,Archives of Biochemistry and Biophysics,698,2021-02-15,108730,,10.1016/j.abb.2020.108730,False,S0003986120307384,"{'author': [{'$': 'Claudio N. Cavasotto'}, {'$': 'Juan I. Di Filippo'}]}"
true,2019-11-14T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1631072119301809', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1631072119301809?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.crme.2019.11.009,https://api.elsevier.com/content/article/pii/S1631072119301809,Data-driven modeling and learning in science and engineering,Francisco J. Montáns,Comptes Rendus Mécanique,347,2019-11-30,845,855,10.1016/j.crme.2019.11.009,True,S1631072119301809,"{'author': [{'$': 'Francisco J. Montáns'}, {'$': 'Francisco Chinesta'}, {'$': 'J. Nathan Kutz'}]}"
true,2019-04-26T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0951832018313309', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0951832018313309?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ress.2019.04.036,https://api.elsevier.com/content/article/pii/S0951832018313309,Managing engineering systems with large state and action spaces through deep reinforcement learning,C. P. Andriotis,Reliability Engineering & System Safety,191,2019-11-30,106483,,10.1016/j.ress.2019.04.036,False,S0951832018313309,"{'author': [{'$': 'C. P. Andriotis'}, {'$': 'K. G. Papakonstantinou'}]}"
true,2021-05-26T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0142061521004154', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0142061521004154?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ijepes.2021.107176,https://api.elsevier.com/content/article/pii/S0142061521004154,A taxonomical review on recent artificial intelligence applications to PV integration into power grids,Cong Feng,International Journal of Electrical Power & Energy Systems,132,2021-11-30,107176,,10.1016/j.ijepes.2021.107176,False,S0142061521004154,"{'author': [{'$': 'Cong Feng'}, {'$': 'Yuanzhi Liu'}, {'$': 'Jie Zhang'}]}"
true,2020-01-09T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1385894720300632', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1385894720300632?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cej.2020.124072,https://api.elsevier.com/content/article/pii/S1385894720300632,"Applying machine learning algorithms in estimating the performance of heterogeneous, multi-component materials as oxygen carriers for chemical-looping processes",Yongliang Yan,Chemical Engineering Journal,387,2020-05-01,124072,,10.1016/j.cej.2020.124072,True,S1385894720300632,"{'author': [{'$': 'Yongliang Yan'}, {'$': 'Tobias Mattisson'}, {'$': 'Peter T. Clough'}]}"
true,2020-09-07T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2666920X20300023', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2666920X20300023?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.caeai.2020.100002,https://api.elsevier.com/content/article/pii/S2666920X20300023,Application and theory gaps during the rise of Artificial Intelligence in Education,Xieling Chen,Computers and Education: Artificial Intelligence,1,2020-12-31,100002,,10.1016/j.caeai.2020.100002,True,S2666920X20300023,"{'author': [{'$': 'Xieling Chen'}, {'$': 'Haoran Xie'}, {'$': 'Gwo-Jen Hwang'}]}"
true,2020-10-19T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0147651320313075', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0147651320313075?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ecoenv.2020.111470,https://api.elsevier.com/content/article/pii/S0147651320313075,Predicting the consequences of accidents involving dangerous substances using machine learning,Mourad Chebila,Ecotoxicology and Environmental Safety,208,2021-01-15,111470,,10.1016/j.ecoenv.2020.111470,True,S0147651320313075,{'author': 'Mourad Chebila'}
true,2019-10-05T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0016508519414121', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0016508519414121?dgcid=api_sd_search-api-endpoint'}",DOI:10.1053/j.gastro.2019.08.058,https://api.elsevier.com/content/article/pii/S0016508519414121,<ce:marker name=globe alt=Additional Online Content Available altimg-small=globe_s.svg altimg=globe_o.svg></ce:marker>Application of Artificial Intelligence to Gastroenterology and Hepatology,Catherine Le Berre,Gastroenterology,158,2020-01-31,76,94.e2,10.1053/j.gastro.2019.08.058,False,S0016508519414121,"{'author': [{'$': 'Catherine Le Berre'}, {'$': 'William J. Sandborn'}, {'$': 'Laurent Peyrin-Biroulet'}]}"
true,2021-04-23T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1084804521001065', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1084804521001065?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.jnca.2021.103084,https://api.elsevier.com/content/article/pii/S1084804521001065,A Systematic Review of Quality of Service in Wireless Sensor Networks using Machine Learning: Recent Trend and Future Vision,Meena Pundir,Journal of Network and Computer Applications,188,2021-08-15,103084,,10.1016/j.jnca.2021.103084,False,S1084804521001065,"{'author': [{'$': 'Meena Pundir'}, {'$': 'Jasminder Kaur Sandhu'}]}"
true,2021-08-03T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0958166921001361', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0958166921001361?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.copbio.2021.07.024,https://api.elsevier.com/content/article/pii/S0958166921001361,Applications of artificial intelligence to enzyme and pathway design for metabolic engineering,Woo Dae Jang,Current Opinion in Biotechnology,73,2022-02-28,101,107,10.1016/j.copbio.2021.07.024,False,S0958166921001361,"{'author': [{'$': 'Woo Dae Jang'}, {'$': 'Gi Bae Kim'}, {'$': 'Sang Yup Lee'}]}"
true,2020-06-20T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0020025520306113', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0020025520306113?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ins.2020.06.025,https://api.elsevier.com/content/article/pii/S0020025520306113,An accurate and dynamic predictive model for a smart M-Health system using machine learning,Kashif Naseer Qureshi,Information Sciences,538,2020-10-31,486,502,10.1016/j.ins.2020.06.025,False,S0020025520306113,"{'author': [{'$': 'Kashif Naseer Qureshi'}, {'$': 'Sadia Din'}, {'$': 'Francesco Piccialli'}]}"
true,2013-02-15T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0893608013000440', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0893608013000440?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neunet.2013.02.003,https://api.elsevier.com/content/article/pii/S0893608013000440,A supervised multi-spike learning algorithm based on gradient descent for spiking neural networks,Yan Xu,Neural Networks,43,2013-07-31,99,113,10.1016/j.neunet.2013.02.003,False,S0893608013000440,"{'author': [{'$': 'Yan Xu'}, {'$': 'Xiaoqin Zeng'}, {'$': 'Jing Yang'}]}"
true,2021-06-25T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780323854986000101', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780323854986000101?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-323-85498-6.00010-1,https://api.elsevier.com/content/article/pii/B9780323854986000101,Chapter Eight: Integrated deep learning for self-driving robotic cars,Tad Gonsalves,Artificial Intelligence for Future Generation Robotics,,2021-12-31,93,118,10.1016/B978-0-323-85498-6.00010-1,False,B9780323854986000101,"{'author': [{'$': 'Tad Gonsalves'}, {'$': 'Jaychand Upadhyay'}]}"
true,2020-12-15T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S138912862031327X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S138912862031327X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.comnet.2020.107743,https://api.elsevier.com/content/article/pii/S138912862031327X,Deep learning for privacy preservation in autonomous moving platforms enhanced 5G heterogeneous networks,Yulei Wu,Computer Networks,185,2021-02-11,107743,,10.1016/j.comnet.2020.107743,False,S138912862031327X,"{'author': [{'$': 'Yulei Wu'}, {'$': 'Yuxiang Ma'}, {'$': 'Hao Wang'}]}"
true,2020-02-01T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0045790619313266', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0045790619313266?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.compeleceng.2020.106558,https://api.elsevier.com/content/article/pii/S0045790619313266,Adaptive cache pre-forwarding policy for distributed deep learning,Sheng-Tzong Cheng,Computers & Electrical Engineering,82,2020-03-31,106558,,10.1016/j.compeleceng.2020.106558,False,S0045790619313266,"{'author': [{'$': 'Sheng-Tzong Cheng'}, {'$': 'Chih-Wei Hsu'}, {'$': 'Che-Hsuan Lin'}]}"
true,2016-02-15T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0925231216001831', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0925231216001831?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neucom.2016.02.005,https://api.elsevier.com/content/article/pii/S0925231216001831,"Special issue: Advances in artificial neural networks, machine learning and computational intelligenceSelected papers from the 23rd European Symposium on Artificial Neural Networks (ESANN 2015)",Fabio Aiolli,Neurocomputing,192,2016-06-05,1,2,10.1016/j.neucom.2016.02.005,False,S0925231216001831,"{'author': [{'$': 'Fabio Aiolli'}, {'$': 'Kerstin Bunte'}, {'$': 'Mikhail Kanevski'}]}"
true,2021-04-15T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2665927121000228', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2665927121000228?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.crfs.2021.03.009,https://api.elsevier.com/content/article/pii/S2665927121000228,Deep learning and machine vision for food processing: A survey,Lili Zhu,Current Research in Food Science,4,2021-12-31,233,249,10.1016/j.crfs.2021.03.009,True,S2665927121000228,"{'author': [{'$': 'Lili Zhu'}, {'$': 'Petros Spachos'}, {'$': 'Konstantinos N. Plataniotis'}]}"
true,2020-02-24T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0305054820300435', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0305054820300435?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.cor.2020.104926,https://api.elsevier.com/content/article/pii/S0305054820300435,A systematic literature review on machine learning applications for sustainable agriculture supply chain performance,Rohit Sharma,Computers & Operations Research,119,2020-07-31,104926,,10.1016/j.cor.2020.104926,False,S0305054820300435,"{'author': [{'$': 'Rohit Sharma'}, {'$': 'Sachin S. Kamble'}, {'$': 'Anil Kumar'}]}"
